uid,name,latitude,longitude,marker-symbol,marker-color,info,dois
0001,CURENT; University of Tennessee Knoxville,35.9517,-83.9300,0,,"0, 1, 3","10.1109/TEMPR.2024.3377210, 10.1109/TSG.2024.3356948, 10.1016/j.isci.2023.108726, 10.1038/s41597-023-02448-w, 10.1109/TSTE.2023.3319307, 10.1109/NAPS58826.2023.10318681, 10.1109/TPWRS.2022.3215128, 10.1109/SPIES55999.2022.10082502, 10.1109/EI252483.2021.9712880, 10.1016/j.ijepes.2020.106624",
0002,North Carolina State University,35.78722,-78.67056,1,,"1",,
0003,Mississippi State University,33.454,-88.789,1,,"1, 3","10.1109/PESGM51994.2024.10688809, 10.1109/KPEC58008.2023.10215428",
0004,University of Denver,39.6783,-104.9622,1,,"2, 3","10.1109/TPWRS.2022.3232759",
0005,National Laboratory of the Rockies,39.742,-105.2135,2,,"2, 3","10.1109/TSG.2021.3118292, 10.1109/PVSC43889.2021.9518779",
0006,Pacific Northwest National Laboratory,46.3432,-119.2763,2,,"3","10.48550/arXiv.2403.07988, 10.1109/NAECON58068.2023.10365910",
0007,Lawrence Livermore National Laboratory,37.69,-121.71,2,,"2",,
0008,Universidad Nacional Autónoma de México,19.322,-99.186,1,,"3",,
0009,University of Washington,47.6541,-122.3080,1,,"3","10.1109/TPWRS.2023.3259960, 10.1109/TPWRS.2022.3176525",
0010,Huazhong University of Science and Technology,30.5100,114.4100,1,,"3","10.1109/PESGM51994.2024.10688829, 10.1109/TPWRS.2022.3221291, 10.1049/gtd2.12520, 10.1109/iSPEC53008.2021.9735614",
0011,Argonne National Laboratory,41.7092,-87.9820,2,,"3","10.1109/TPWRS.2021.3110881",
0012,Grid Protection Alliance Inc,35.043602,-85.30935,3,,"2, 3","10.1109/ACCESS.2020.3040883",
0013,Rensselaer Polytechnic Institute,42.729637,-73.678925,1,,"1",,
0014,Binghamton University-SUNY,42.0888,-75.9670,1,,"3","10.1109/PESGM52003.2023.10253193",
0015,Texas A&M University,30.6280,-96.3344,1,,"3","10.1109/PESGM48719.2022.9917027",
0016,Nanyang Technological University,1.3402,103.6755,1,,"3","10.1109/PESGM51994.2024.10688439",
0017,Tsinghua University,40.00000,116.32667,1,,"3","10.1109/TPWRS.2024.3352825",
0018,Electric Power Dispatching and Control Center China Southern Power Grid Co Ltd,23.1291,113.3648,3,,"3","10.1109/ICPRE59655.2023.10353614",
0019,University of California Santa Cruz,36.9914,-122.062,1,,"3","10.1109/TPWRS.2022.3217267",
0020,Oklahoma State University,36.1277,-97.0731,1,,"3","10.1109/JPROC.2022.3173813, 10.1109/PESGM48719.2022.9916967",
0021,University of South-Eastern Norway,59.1388,9.6724,1,,"3","10.1109/PESGM52003.2023.10252195",
0022,University of Toronto,43.6621,-79.3967,1,,"3","10.1109/ICMLA58977.2023.00058",
0023,National Autonomous University of Mexico,19.3289,-99.1872,1,,"4",,
0024,University of South Carolina,33.994709, -81.028461,1,,"1",,
0025,Kansas State University,39.197402, -96.584661,1,,"1",,
0026,Clemson University,32.856905, -79.958612,1,,"1",,
0027,Google,47.625338, -122.336339,3,,"3",,
0028,New York University,40.729481, -73.996448,1,,"4",,
0029,The University of Texas at San Antonio,29.583012, -98.619899,1,,"1",,
0030,Trinity College Dublin,53.343723, -6.254593,1,,"1",,
0031,Peak Reliability,40.412100, -105.007566,3,,"3",,
0032,New Mexico State University,32.279153, -106.749043,1,,"3",,
0033,Missouri University of Science and Technology,37.953615, -91.775917,1,,"1",,
0034,DNV GL,32.809486, -96.848931,3,,"3",,
0035,American Electric Power,32.781434, -96.802375,3,,"3",,
0036,ETAP,33.635536, -117.718250,3,,"3",,
0036,Public Service Company of New Mexico,35.082014, -106.652877,3,,"3",,
0037,Kwangwoon University,37.619360, 127.059670,1,,"3",,
0038,Johns Hopkins University,39.329785, -76.620389,1,,"3",,
